"s",0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5
"theta0=1",0.00436343,0.00436169,0.00435645,0.00434773,0.00433551,0.0043198,0.00430061,0.00427792,0.00425174,0.00422207,0.00418891,0.00415226,0.00411212,0.00406849,0.00402136,0.00397075,0.00391665,0.00385905,0.00379797,0.0037334,0.00366533,0.00359377,0.00351872,0.00344019,0.00335816,0.00327264,0.00318363,0.00309113,0.00299513,0.00289565,0.00279267,0.00268621,0.00257625,0.0024628,0.00234586,0.00222543,0.00210151,0.0019741,0.0018432,0.0017088,0.00157091,0.00142953,0.00128466,0.0011363,0.000984449,0.000829104,0.000670267,0.000507938,0.000342117,0.000172805,0
"theta0=2",0.00872753,0.00872404,0.00871357,0.00869612,0.00867169,0.00864028,0.00860189,0.00855652,0.00850417,0.00844484,0.00837853,0.00830524,0.00822497,0.00813772,0.00804349,0.00794227,0.00783408,0.0077189,0.00759674,0.00746761,0.00733148,0.00718838,0.0070383,0.00688123,0.00671718,0.00654615,0.00636813,0.00618313,0.00599115,0.00579218,0.00558623,0.0053733,0.00515338,0.00492647,0.00469258,0.00445171,0.00420384,0.00394899,0.00368716,0.00341834,0.00314252,0.00285973,0.00256994,0.00227316,0.0019694,0.00165864,0.00134089,0.00101616,0.000684431,0.000345711,0
"theta0=3",0.013093,0.0130877,0.013072,0.0130459,0.0130092,0.0129621,0.0129045,0.0128365,0.012758,0.012669,0.0125696,0.0124597,0.0123393,0.0122084,0.0120671,0.0119153,0.0117531,0.0115803,0.0113971,0.0112034,0.0109993,0.0107847,0.0105596,0.010324,0.0100779,0.0098214,0.00955439,0.00927691,0.00898894,0.00869049,0.00838156,0.00806215,0.00773225,0.00739187,0.00704101,0.00667965,0.00630781,0.00592548,0.00553266,0.00512934,0.00471553,0.00429123,0.00385643,0.00341114,0.00295534,0.00248904,0.00201225,0.00152494,0.00102714,0.000518823,0
"theta0=4",0.0174604,0.0174534,0.0174325,0.0173976,0.0173488,0.017286,0.0172093,0.0171186,0.0170139,0.0168953,0.0167628,0.0166163,0.0164558,0.0162814,0.016093,0.0158907,0.0156744,0.0154441,0.0151999,0.0149417,0.0146696,0.0143835,0.0140834,0.0137693,0.0134413,0.0130993,0.0127433,0.0123733,0.0119894,0.0115915,0.0111796,0.0107536,0.0103138,0.00985988,0.009392,0.00891012,0.00841424,0.00790435,0.00738046,0.00684256,0.00629065,0.00572471,0.00514476,0.00455079,0.00394279,0.00332075,0.00268469,0.00203458,0.00137043,0.000692242,0
"theta0=5",0.0218305,0.0218218,0.0217956,0.021752,0.021691,0.0216126,0.0215167,0.0214034,0.0212726,0.0211245,0.0209588,0.0207758,0.0205753,0.0203574,0.020122,0.0198691,0.0195989,0.0193111,0.0190059,0.0186833,0.0183432,0.0179856,0.0176106,0.0172181,0.0168081,0.0163806,0.0159357,0.0154733,0.0149934,0.014496,0.0139811,0.0134487,0.0128988,0.0123313,0.0117464,0.0111439,0.0105239,0.00988642,0.00923135,0.00855873,0.00786856,0.00716084,0.00643554,0.00569268,0.00493223,0.0041542,0.00335858,0.00254535,0.00171452,0.000866072,0
"theta0=6",0.0262039,0.0261934,0.0261621,0.0261098,0.0260366,0.0259426,0.0258276,0.0256917,0.0255349,0.0253571,0.0251585,0.0249389,0.0246984,0.024437,0.0241547,0.0238514,0.0235272,0.0231821,0.022816,0.0224289,0.0220209,0.021592,0.021142,0.0206711,0.0201793,0.0196664,0.0191325,0.0185777,0.0180018,0.017405,0.0167871,0.0161481,0.0154882,0.0148072,0.0141051,0.013382,0.0126378,0.0118725,0.0110861,0.0102786,0.00945,0.00860026,0.00772939,0.00683737,0.00592419,0.00498983,0.00403429,0.00305755,0.0020596,0.00104042,0
"theta0=7",0.0305813,0.0305691,0.0305326,0.0304716,0.0303863,0.0302766,0.0301426,0.0299841,0.0298013,0.029594,0.0293624,0.0291064,0.028826,0.0285212,0.028192,0.0278383,0.0274603,0.0270578,0.0266308,0.0261795,0.0257036,0.0252033,0.0246786,0.0241293,0.0235556,0.0229574,0.0223347,0.0216874,0.0210156,0.0203193,0.0195984,0.0188529,0.0180829,0.0172882,0.0164689,0.0156251,0.0147565,0.0138633,0.0129455,0.0120029,0.0110357,0.0100437,0.00902694,0.00798545,0.00691917,0.0058281,0.0047122,0.00357146,0.00240587,0.00121539,0
"theta0=8",0.0349634,0.0349495,0.0349077,0.0348381,0.0347407,0.0346155,0.0344623,0.0342814,0.0340726,0.0338359,0.0335714,0.033279,0.0329588,0.0326106,0.0322346,0.0318306,0.0313988,0.030939,0.0304514,0.0299357,0.0293922,0.0288206,0.0282211,0.0275936,0.0269381,0.0262545,0.025543,0.0248033,0.0240356,0.0232398,0.0224159,0.0215639,0.0206837,0.0197754,0.0188388,0.0178741,0.0168811,0.0158598,0.0148103,0.0137324,0.0126263,0.0114917,0.0103288,0.00913747,0.00791769,0.00666944,0.00539268,0.00408739,0.00275353,0.00139108,0
"theta0=9",0.0393509,0.0393352,0.0392883,0.0392101,0.0391005,0.0389597,0.0387876,0.0385842,0.0383495,0.0380835,0.0377861,0.0374574,0.0370974,0.036706,0.0362833,0.0358291,0.0353436,0.0348267,0.0342784,0.0336986,0.0330873,0.0324446,0.0317704,0.0310647,0.0303275,0.0295587,0.0287583,0.0279264,0.0270628,0.0261675,0.0252406,0.024282,0.0232916,0.0222695,0.0212156,0.0201298,0.0190122,0.0178627,0.0166813,0.0154679,0.0142226,0.0129451,0.0116357,0.010294,0.00892028,0.00751432,0.00607612,0.00460563,0.00310281,0.00156762,0
