"x",0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5
"theta0=1",0.00436343,0.00436169,0.00435645,0.00434773,0.00433551,0.0043198,0.00430061,0.00427792,0.00425174,0.00422207,0.00418891,0.00415226,0.00411212,0.00406848,0.00402136,0.00397075,0.00391664,0.00385905,0.00379796,0.00373339,0.00366532,0.00359376,0.00351871,0.00344017,0.00335813,0.00327261,0.00318359,0.00309109,0.00299509,0.0028956,0.00279262,0.00268614,0.00257618,0.00246272,0.00234577,0.00222533,0.00210139,0.00197397,0.00184305,0.00170864,0.00157073,0.00142933,0.00128444,0.00113606,0.000984183,0.000828813,0.000669949,0.000507592,0.000341741,0.000172395,0
"theta0=2",0.00872753,0.00872404,0.00871357,0.00869612,0.00867169,0.00864028,0.00860189,0.00855652,0.00850417,0.00844484,0.00837853,0.00830523,0.00822496,0.0081377,0.00804346,0.00794224,0.00783404,0.00771885,0.00759668,0.00746753,0.00733139,0.00718827,0.00703816,0.00688107,0.00671699,0.00654593,0.00636787,0.00618283,0.0059908,0.00579178,0.00558577,0.00537277,0.00515278,0.0049258,0.00469182,0.00445085,0.00420289,0.00394793,0.00368598,0.00341702,0.00314107,0.00285812,0.00256817,0.00227122,0.00196727,0.00165631,0.00133835,0.00101339,0.000681417,0.000342432,0
"theta0=3",0.013093,0.0130877,0.013072,0.0130459,0.0130092,0.0129621,0.0129045,0.0128365,0.012758,0.012669,0.0125696,0.0124596,0.0123393,0.0122084,0.012067,0.0119152,0.0117529,0.0115802,0.0113969,0.0112032,0.010999,0.0107843,0.0105591,0.0103235,0.0100773,0.00982066,0.00955352,0.00927589,0.00898776,0.00868914,0.00838001,0.00806038,0.00773025,0.0073896,0.00703845,0.00667678,0.00630459,0.00592189,0.00552866,0.00512491,0.00471063,0.00428581,0.00385046,0.00340458,0.00294815,0.00248118,0.00200365,0.00151558,0.00101695,0.000507734,0
"theta0=4",0.0174604,0.0174534,0.0174325,0.0173976,0.0173488,0.017286,0.0172093,0.0171186,0.0170139,0.0168953,0.0167627,0.0166162,0.0164557,0.0162813,0.0160929,0.0158905,0.0156741,0.0154438,0.0151994,0.0149411,0.0146689,0.0143826,0.0140823,0.013768,0.0134398,0.0130975,0.0127412,0.0123709,0.0119866,0.0115883,0.0111759,0.0107495,0.010309,0.00985449,0.00938592,0.0089033,0.0084066,0.00789583,0.00737098,0.00683203,0.00627899,0.00571185,0.00513059,0.00453521,0.0039257,0.00330206,0.00266427,0.00201232,0.00134622,0.000665884,0
"theta0=5",0.0218305,0.0218218,0.0217956,0.021752,0.021691,0.0216126,0.0215167,0.0214034,0.0212726,0.0211244,0.0209588,0.0207757,0.0205751,0.0203571,0.0201216,0.0198687,0.0195983,0.0193104,0.019005,0.0186821,0.0183418,0.0179839,0.0176085,0.0172156,0.0168052,0.0163772,0.0159317,0.0154686,0.0149879,0.0144897,0.0139739,0.0134405,0.0128895,0.0123208,0.0117345,0.0111306,0.010509,0.00986975,0.00921279,0.00853814,0.00784576,0.00713566,0.0064078,0.00566218,0.00489879,0.00411759,0.00331858,0.00250174,0.00166707,0.000814409,0
"theta0=6",0.0262039,0.0261934,0.0261621,0.0261098,0.0260366,0.0259426,0.0258276,0.0256916,0.0255348,0.025357,0.0251583,0.0249387,0.0246981,0.0244366,0.0241541,0.0238506,0.0235262,0.0231808,0.0228144,0.0224269,0.0220185,0.021589,0.0211385,0.0206669,0.0201742,0.0196604,0.0191255,0.0185695,0.0179924,0.0173941,0.0167746,0.016134,0.0154721,0.0147889,0.0140846,0.0133589,0.0126119,0.0118436,0.011054,0.0102429,0.00941051,0.00855664,0.00768133,0.00678453,0.00586621,0.00492636,0.00396494,0.0029819,0.00197728,0.000950754,0
"theta0=7",0.0305813,0.0305691,0.0305326,0.0304716,0.0303863,0.0302766,0.0301425,0.029984,0.0298012,0.0295939,0.0293622,0.0291061,0.0288255,0.0285205,0.028191,0.0278371,0.0274587,0.0270558,0.0266283,0.0261763,0.0256998,0.0251986,0.0246729,0.0241226,0.0235476,0.0229479,0.0223235,0.0216745,0.0210006,0.020302,0.0195786,0.0188304,0.0180573,0.0172592,0.0164363,0.0155883,0.0147154,0.0138174,0.0128943,0.0119461,0.0109728,0.0099742,0.00895037,0.00790124,0.00682677,0.0057269,0.0046016,0.00345078,0.00227452,0.00107227,0
"theta0=8",0.0349634,0.0349495,0.0349077,0.0348381,0.0347407,0.0346154,0.0344623,0.0342813,0.0340724,0.0338357,0.033571,0.0332785,0.032958,0.0326096,0.0322332,0.0318288,0.0313964,0.030936,0.0304476,0.029931,0.0293864,0.0288136,0.0282126,0.0275835,0.026926,0.0262404,0.0255264,0.024784,0.0240133,0.0232141,0.0223864,0.0215302,0.0206455,0.0197321,0.01879,0.0178192,0.0168196,0.0157911,0.0147338,0.0136475,0.0125321,0.0113877,0.0102141,0.00901128,0.00777917,0.00651769,0.00522677,0.0039063,0.00255638,0.00117616,0
"theta0=9",0.0393509,0.0393352,0.0392883,0.0392101,0.0391005,0.0389597,0.0387876,0.0385841,0.0383493,0.0380831,0.0377856,0.0374567,0.0370963,0.0367046,0.0362813,0.0358265,0.0353403,0.0348224,0.034273,0.0336919,0.0330791,0.0324346,0.0317584,0.0310503,0.0303104,0.0295385,0.0287347,0.0278989,0.0270309,0.0261309,0.0251986,0.024234,0.0232371,0.0222078,0.0211459,0.0200515,0.0189245,0.0177647,0.0165721,0.0153465,0.014088,0.0127964,0.0114716,0.0101135,0.00872208,0.00729711,0.00583856,0.00434624,0.00282031,0.00125951,0
"theta0=10",0.0437443,0.043727,0.0436749,0.043588,0.0434665,0.0433101,0.043119,0.0428932,0.0426325,0.042337,0.0420066,0.0416414,0.0412413,0.0408062,0.0403361,0.039831,0.0392909,0.0387156,0.0381052,0.0374596,0.0367787,0.0360625,0.0353109,0.0345239,0.0337013,0.0328431,0.0319493,0.0310197,0.0300543,0.029053,0.0280157,0.0269422,0.0258326,0.0246867,0.0235044,0.0222856,0.0210302,0.019738,0.018409,0.0170431,0.01564,0.0141997,0.012722,0.0112069,0.00965409,0.00806349,0.00643496,0.00476826,0.0030636,0.00131921,0
"theta0=11",0.0481445,0.0481254,0.0480682,0.0479728,0.0478392,0.0476674,0.0474574,0.0472092,0.0469227,0.0465979,0.0462348,0.0458334,0.0453935,0.0449152,0.0443984,0.0438431,0.0432491,0.0426165,0.0419452,0.0412351,0.040486,0.0396981,0.0388711,0.0380049,0.0370996,0.0361549,0.0351708,0.0341472,0.033084,0.031981,0.0308382,0.0296554,0.0284324,0.0271692,0.0258657,0.0245215,0.0231367,0.0217111,0.0202444,0.0187366,0.0171874,0.0155967,0.0139644,0.0122901,0.0105737,0.00881501,0.00701385,0.00516987,0.00328338,0.00135191,0
"theta0=12",0.0525521,0.0525313,0.052469,0.052365,0.0522194,0.0520322,0.0518034,0.0515328,0.0512206,0.0508667,0.0504709,0.0500333,0.0495538,0.0490324,0.048469,0.0478634,0.0472158,0.0465258,0.0457936,0.045019,0.0442018,0.043342,0.0424395,0.0414942,0.0405059,0.0394746,0.0384,0.0372821,0.0361207,0.0349156,0.0336668,0.032374,0.031037,0.0296557,0.02823,0.0267595,0.0252442,0.0236838,0.022078,0.0204268,0.0187298,0.0169868,0.0151975,0.0133618,0.0114793,0.00954975,0.00757294,0.0055484,0.00347654,0.00135407,0
